41.872704, -87.61641, 0.0, 1310426389, 50, Chicago/Meigs, IL
41.872704, -87.61641, 0.0, 1310426410, 50, Chicago/Meigs, IL
41.872704, -87.61641, 0.0, 1310426443, 50, Chicago/Meigs, IL
41.867546, -87.61646, 0.0, 1310427169, 50, Chicago/Meigs, IL
41.867546, -87.61646, 0.0, 1310427199, 50, Chicago/Meigs, IL
41.867546, -87.61646, 0.0, 1310427349, 50, Chicago/Meigs, IL
41.867546, -87.61646, 0.0, 1310427566, 50, Chicago/Meigs, IL
41.867546, -87.61646, 0.0, 1310427582, 50, Chicago/Meigs, IL
41.867546, -87.61646, 0.0, 1310427800, 50, Chicago/Meigs, IL
41.866375, -87.633156, 0.0, 1310428032, 50, Chicago/Meigs, IL
41.866375, -87.633156, 0.0, 1310428114, 50, Chicago/Meigs, IL
41.866375, -87.633156, 0.0, 1310428237, 50, Chicago/Meigs, IL
41.866375, -87.633156, 0.0, 1310428255, 50, Chicago/Meigs, IL
41.866375, -87.633156, 0.0, 1310428272, 50, Chicago/Meigs, IL
41.866375, -87.633156, 0.0, 1310428526, 50, Chicago/Meigs, IL
41.86583, -87.63647, 0.0, 1310429519, 50, Chicago/Meigs, IL
41.86583, -87.63647, 0.0, 1310429523, 50, Chicago/Meigs, IL
41.86583, -87.63647, 0.0, 1310429533, 50, Chicago/Meigs, IL
41.86789, -87.632774, 0.0, 1310429749, 50, Chicago/Meigs, IL
41.86789, -87.632774, 0.0, 1310429771, 50, Chicago/Meigs, IL
41.86789, -87.632774, 0.0, 1310429787, 50, Chicago/Meigs, IL
41.866375, -87.633156, 0.0, 1310429990, 50, Chicago/Meigs, IL
41.88187, -87.62814, 0.0, 1310483484, 50, Chicago/Meigs, IL
41.88187, -87.62814, 0.0, 1310483559, 50, Chicago/Meigs, IL
41.88849, -87.62473, 0.0, 1310485929, 50, Chicago/Meigs, IL
41.88814, -87.624504, 0.0, 1310485946, 50, Chicago/Meigs, IL
41.88814, -87.624504, 0.0, 1310486043, 50, Chicago/Meigs, IL
41.88814, -87.624504, 0.0, 1310486082, 50, Chicago/Meigs, IL
41.887848, -87.6249, 0.0, 1310486234, 50, Chicago/Meigs, IL
41.887848, -87.6249, 0.0, 1310486265, 50, Chicago/Meigs, IL
41.887848, -87.6249, 0.0, 1310486447, 50, Chicago/Meigs, IL
