34.047707, -118.247406, 0.0, 1309917036, 0, Hawthorne, CA
34.047707, -118.247406, 0.0, 1309917218, 0, Hawthorne, CA
34.047707, -118.247406, 0.0, 1309917266, 0, Hawthorne, CA
34.040443, -118.248825, 0.0, 1309919603, 0, Hawthorne, CA
34.043304, -118.25053, 0.0, 1309919783, 0, Hawthorne, CA
34.043972, -118.250786, 0.0, 1309919964, 0, Hawthorne, CA
34.043972, -118.250786, 0.0, 1309920144, 0, Hawthorne, CA
34.043972, -118.250786, 0.0, 1309920197, 0, Hawthorne, CA
34.05068, -118.249855, 0.0, 1309968862, 0, Hawthorne, CA
34.04784, -118.24756, 0.0, 1309969042, 0, Hawthorne, CA
34.05084, -118.244286, 0.0, 1309969224, 0, Hawthorne, CA
34.050182, -118.24141, 0.0, 1309969404, 0, Hawthorne, CA
34.05036, -118.241005, 0.0, 1309969593, 0, Hawthorne, CA
34.048866, -118.23952, 0.0, 1309969765, 0, Hawthorne, CA
34.048866, -118.23952, 0.0, 1309969819, 0, Hawthorne, CA
34.051895, -118.22625, 0.0, 1309972554, 0, Hawthorne, CA
34.048958, -118.243034, 0.0, 1309973114, 0, Hawthorne, CA
34.04925, -118.24047, 0.0, 1309973115, 0, Hawthorne, CA
34.04922, -118.24339, 0.0, 1309973308, 0, Hawthorne, CA
34.048958, -118.243034, 0.0, 1309973335, 0, Hawthorne, CA
34.0517, -118.22619, 0.0, 1309973609, 0, Hawthorne, CA
34.049065, -118.2389, 0.0, 1309973814, 0, Hawthorne, CA
34.0498, -118.23868, 0.0, 1309974000, 0, Hawthorne, CA
34.049065, -118.2389, 0.0, 1309974190, 0, Hawthorne, CA
34.048943, -118.23902, 0.0, 1309974213, 0, Hawthorne, CA
34.049232, -118.23872, 0.0, 1309977404, 0, Hawthorne, CA
34.049114, -118.238495, 0.0, 1309977586, 0, Hawthorne, CA
34.0498, -118.23868, 0.0, 1309977779, 0, Hawthorne, CA
34.0498, -118.23868, 0.0, 1309977970, 0, Hawthorne, CA
34.0498, -118.23868, 0.0, 1309977991, 0, Hawthorne, CA
34.05559, -118.23584, 0.0, 1309980188, 0, Hawthorne, CA
34.055553, -118.23582, 0.0, 1309980369, 0, Hawthorne, CA
34.053017, -118.23361, 0.0, 1309980562, 0, Hawthorne, CA
34.05422, -118.23443, 0.0, 1309980749, 0, Hawthorne, CA
34.05422, -118.23443, 0.0, 1309980779, 0, Hawthorne, CA
34.064598, -118.287415, 0.0, 1309986609, 0, Santa Monica, CA
34.096085, -118.296394, 0.0, 1309987179, 0, Burbank, CA
34.096085, -118.296394, 0.0, 1309987200, 0, Burbank, CA
34.103207, -118.28672, 0.0, 1309987600, 0, Burbank, CA
34.09973, -118.29176, 0.0, 1309987601, 0, Burbank, CA
34.100834, -118.290276, 0.0, 1309987791, 0, Burbank, CA
34.102676, -118.30119, 0.0, 1309987980, 0, Burbank, CA
34.102676, -118.30119, 0.0, 1309988014, 0, Burbank, CA
34.098137, -118.30488, 0.0, 1309988905, 0, Burbank, CA
34.09823, -118.305115, 0.0, 1309989087, 0, Burbank, CA
34.09801, -118.31171, 0.0, 1309989294, 0, Burbank, CA
34.098244, -118.31001, 0.0, 1309989504, 0, Burbank, CA
34.098553, -118.3119, 0.0, 1309989685, 0, Burbank, CA
34.098057, -118.31611, 0.0, 1309989874, 0, Burbank, CA
34.09831, -118.31631, 0.0, 1309989918, 0, Burbank, CA
34.09786, -118.32296, 0.0, 1309990212, 0, Burbank, CA
34.098553, -118.32445, 0.0, 1309990402, 0, Burbank, CA
34.09796, -118.32156, 0.0, 1309990582, 0, Burbank, CA
34.098553, -118.32445, 0.0, 1309990770, 0, Burbank, CA
34.098625, -118.32431, 0.0, 1309990806, 0, Burbank, CA
34.101875, -118.32653, 0.0, 1309991283, 0, Burbank, CA
34.100483, -118.32695, 0.0, 1309991465, 0, Burbank, CA
34.101536, -118.32927, 0.0, 1309991647, 0, Burbank, CA
34.103573, -118.33302, 0.0, 1309991836, 0, Burbank, CA
34.101437, -118.33694, 0.0, 1309992385, 0, Burbank, CA
34.101437, -118.33694, 0.0, 1309992567, 0, Burbank, CA
34.099716, -118.33555, 0.0, 1309992756, 0, Burbank, CA
34.099716, -118.33555, 0.0, 1309992978, 0, Burbank, CA
34.09038, -118.34628, 0.0, 1310003051, 0, Santa Monica, CA
34.091095, -118.34404, 0.0, 1310003221, 0, Burbank, CA
34.083492, -118.34423, 0.0, 1310003401, 0, Santa Monica, CA
34.076096, -118.34404, 0.0, 1310003623, 0, Santa Monica, CA
34.073086, -118.34409, 0.0, 1310003753, 0, Santa Monica, CA
34.062702, -118.34408, 0.0, 1310003942, 0, Santa Monica, CA
34.058956, -118.34616, 0.0, 1310004257, 0, Santa Monica, CA
34.05885, -118.34557, 0.0, 1310004436, 0, Santa Monica, CA
34.057392, -118.34594, 0.0, 1310004616, 0, Santa Monica, CA
34.05788, -118.34495, 0.0, 1310004667, 0, Santa Monica, CA
34.057476, -118.35721, 0.0, 1310005505, 0, Santa Monica, CA
34.058674, -118.36746, 0.0, 1310005818, 0, Santa Monica, CA
34.0579, -118.37687, 0.0, 1310005818, 0, Santa Monica, CA
34.05871, -118.412, 0.0, 1310006175, 0, Santa Monica, CA
34.05871, -118.412, 0.0, 1310006232, 0, Santa Monica, CA
34.059452, -118.41282, 0.0, 1310006355, 0, Santa Monica, CA
34.06032, -118.41421, 0.0, 1310006535, 0, Santa Monica, CA
34.060898, -118.414474, 0.0, 1310006718, 0, Santa Monica, CA
34.060898, -118.414474, 0.0, 1310006769, 0, Santa Monica, CA
34.062634, -118.41703, 0.0, 1310007068, 0, Santa Monica, CA
34.06117, -118.41907, 0.0, 1310007248, 0, Santa Monica, CA
34.060677, -118.41854, 0.0, 1310007428, 0, Santa Monica, CA
34.05962, -118.41775, 0.0, 1310007482, 0, Santa Monica, CA
34.049274, -118.438446, 0.0, 1310007926, 0, Santa Monica, CA
34.043774, -118.45626, 0.0, 1310008234, 0, Santa Monica, CA
34.043774, -118.45626, 0.0, 1310008337, 0, Santa Monica, CA
34.026676, -118.48252, 0.0, 1310008681, 0, Santa Monica, CA
34.019646, -118.49142, 0.0, 1310008985, 0, Santa Monica, CA
34.01727, -118.49417, 0.0, 1310009166, 0, Santa Monica, CA
34.015797, -118.49589, 0.0, 1310009349, 0, Santa Monica, CA
34.015797, -118.49589, 0.0, 1310009530, 0, Santa Monica, CA
34.013702, -118.497375, 0.0, 1310009710, 0, Santa Monica, CA
34.013702, -118.497375, 0.0, 1310009763, 0, Santa Monica, CA
34.012604, -118.496475, 0.0, 1310010605, 0, Santa Monica, CA
34.01238, -118.49791, 0.0, 1310010786, 0, Santa Monica, CA
34.01317, -118.49719, 0.0, 1310010965, 0, Santa Monica, CA
34.01241, -118.49588, 0.0, 1310011147, 0, Santa Monica, CA
34.008392, -118.49509, 0.0, 1310011198, 0, Santa Monica, CA
34.019855, -118.49736, 0.0, 1310011546, 0, Santa Monica, CA
34.025425, -118.48744, 0.0, 1310011887, 0, Santa Monica, CA
34.024033, -118.48888, 0.0, 1310011887, 0, Santa Monica, CA
34.023838, -118.48588, 0.0, 1310012067, 0, Santa Monica, CA
34.023838, -118.48588, 0.0, 1310012248, 0, Santa Monica, CA
34.030903, -118.478584, 0.0, 1310012301, 0, Santa Monica, CA
34.035145, -118.47201, 0.0, 1310012462, 0, Santa Monica, CA
34.040977, -118.463234, 0.0, 1310012786, 0, Santa Monica, CA
34.044434, -118.45444, 0.0, 1310012973, 0, Santa Monica, CA
34.051155, -118.43294, 0.0, 1310013228, 0, Santa Monica, CA
34.06682, -118.410675, 0.0, 1310013601, 0, Santa Monica, CA
34.07022, -118.40519, 0.0, 1310013783, 0, Santa Monica, CA
34.071922, -118.40354, 0.0, 1310013964, 0, Santa Monica, CA
34.078, -118.3944, 0.0, 1310014180, 0, Santa Monica, CA
34.089245, -118.376785, 0.0, 1310014445, 0, Santa Monica, CA
34.090717, -118.35576, 0.0, 1310014834, 0, Santa Monica, CA
34.090603, -118.3379, 0.0, 1310015220, 0, Burbank, CA
34.09084, -118.338615, 0.0, 1310015401, 0, Burbank, CA
34.094105, -118.33852, 0.0, 1310015585, 0, Burbank, CA
34.094105, -118.33852, 0.0, 1310015635, 0, Burbank, CA
34.102127, -118.33753, 0.0, 1310016259, 0, Burbank, CA
34.097977, -118.33946, 0.0, 1310016436, 0, Burbank, CA
34.097977, -118.33946, 0.0, 1310016616, 0, Burbank, CA
34.097977, -118.33946, 0.0, 1310016797, 0, Burbank, CA
34.097977, -118.33946, 0.0, 1310016849, 0, Burbank, CA
34.09767, -118.33984, 0.0, 1310017273, 0, Burbank, CA
34.097733, -118.33981, 0.0, 1310017451, 0, Burbank, CA
34.097733, -118.33981, 0.0, 1310017528, 0, Burbank, CA
34.097733, -118.33981, 0.0, 1310017710, 0, Burbank, CA
34.097733, -118.33981, 0.0, 1310017890, 0, Burbank, CA
34.097733, -118.33981, 0.0, 1310018071, 0, Burbank, CA
34.097733, -118.33981, 0.0, 1310018115, 0, Burbank, CA
34.102604, -118.32967, 0.0, 1310063345, 0, Burbank, CA
34.101604, -118.32929, 0.0, 1310063528, 0, Burbank, CA
34.101604, -118.32929, 0.0, 1310063707, 0, Burbank, CA
34.101753, -118.32705, 0.0, 1310063888, 0, Burbank, CA
34.101753, -118.32705, 0.0, 1310063941, 0, Burbank, CA
34.064598, -118.287415, 0.0, 1310065714, 0, Santa Monica, CA
34.054703, -118.23158, 0.0, 1310066585, 0, Hawthorne, CA
34.055916, -118.234764, 0.0, 1310066752, 0, Hawthorne, CA
34.056038, -118.23591, 0.0, 1310066939, 0, Hawthorne, CA
34.056145, -118.236595, 0.0, 1310067164, 0, Hawthorne, CA
